Zoom Level,X,Y,Top Latitude,Bottom Latitude,Left Longitude,Right Longitude
3,1,2,66.51326044311186,40.97989806962013,-135.0,-90.0
3,1,3,40.97989806962013,0.0,-135.0,-90.0
3,2,2,66.51326044311186,40.97989806962013,-90.0,-45.0
3,2,3,40.97989806962013,0.0,-90.0,-45.0
4,2,5,55.7765730186677,40.97989806962013,-135.0,-112.5
4,2,6,40.97989806962013,21.943045533438177,-135.0,-112.5
4,3,5,55.7765730186677,40.97989806962013,-112.5,-90.0
4,3,6,40.97989806962013,21.943045533438177,-112.5,-90.0
4,4,5,55.7765730186677,40.97989806962013,-90.0,-67.5
4,4,6,40.97989806962013,21.943045533438177,-90.0,-67.5
4,5,5,55.7765730186677,40.97989806962013,-67.5,-45.0
4,5,6,40.97989806962013,21.943045533438177,-67.5,-45.0
5,4,10,55.7765730186677,48.92249926375824,-135.0,-123.75
5,4,11,48.92249926375824,40.97989806962013,-135.0,-123.75
5,4,12,40.97989806962013,31.952162238024968,-135.0,-123.75
5,4,13,31.952162238024968,21.943045533438177,-135.0,-123.75
5,5,10,55.7765730186677,48.92249926375824,-123.75,-112.5
5,5,11,48.92249926375824,40.97989806962013,-123.75,-112.5
5,5,12,40.97989806962013,31.952162238024968,-123.75,-112.5
5,5,13,31.952162238024968,21.943045533438177,-123.75,-112.5
5,6,10,55.7765730186677,48.92249926375824,-112.5,-101.25
5,6,11,48.92249926375824,40.97989806962013,-112.5,-101.25
5,6,12,40.97989806962013,31.952162238024968,-112.5,-101.25
5,6,13,31.952162238024968,21.943045533438177,-112.5,-101.25
5,7,10,55.7765730186677,48.92249926375824,-101.25,-90.0
5,7,11,48.92249926375824,40.97989806962013,-101.25,-90.0
5,7,12,40.97989806962013,31.952162238024968,-101.25,-90.0
5,7,13,31.952162238024968,21.943045533438177,-101.25,-90.0
5,8,10,55.7765730186677,48.92249926375824,-90.0,-78.75
5,8,11,48.92249926375824,40.97989806962013,-90.0,-78.75
5,8,12,40.97989806962013,31.952162238024968,-90.0,-78.75
5,8,13,31.952162238024968,21.943045533438177,-90.0,-78.75
5,9,10,55.7765730186677,48.92249926375824,-78.75,-67.5
5,9,11,48.92249926375824,40.97989806962013,-78.75,-67.5
5,9,12,40.97989806962013,31.952162238024968,-78.75,-67.5
5,9,13,31.952162238024968,21.943045533438177,-78.75,-67.5
5,10,10,55.7765730186677,48.92249926375824,-67.5,-56.25
5,10,11,48.92249926375824,40.97989806962013,-67.5,-56.25
5,10,12,40.97989806962013,31.952162238024968,-67.5,-56.25
5,10,13,31.952162238024968,21.943045533438177,-67.5,-56.25
5,11,10,55.7765730186677,48.92249926375824,-56.25,-45.0
5,11,11,48.92249926375824,40.97989806962013,-56.25,-45.0
5,11,12,40.97989806962013,31.952162238024968,-56.25,-45.0
5,11,13,31.952162238024968,21.943045533438177,-56.25,-45.0
6,9,21,52.48278022207821,48.92249926375824,-129.375,-123.75
6,9,22,48.92249926375824,45.089035564831015,-129.375,-123.75
6,9,23,45.089035564831015,40.97989806962013,-129.375,-123.75
6,9,24,40.97989806962013,36.59788913307021,-129.375,-123.75
6,9,25,36.59788913307021,31.952162238024968,-129.375,-123.75
6,9,26,31.952162238024968,27.059125784374054,-129.375,-123.75
6,9,27,27.059125784374054,21.943045533438177,-129.375,-123.75
6,9,28,21.943045533438177,16.636191878397653,-129.375,-123.75
6,10,21,52.48278022207821,48.92249926375824,-123.75,-118.125
6,10,22,48.92249926375824,45.089035564831015,-123.75,-118.125
6,10,23,45.089035564831015,40.97989806962013,-123.75,-118.125
6,10,24,40.97989806962013,36.59788913307021,-123.75,-118.125
6,10,25,36.59788913307021,31.952162238024968,-123.75,-118.125
6,10,26,31.952162238024968,27.059125784374054,-123.75,-118.125
6,10,27,27.059125784374054,21.943045533438177,-123.75,-118.125
6,10,28,21.943045533438177,16.636191878397653,-123.75,-118.125
6,11,21,52.48278022207821,48.92249926375824,-118.125,-112.5
6,11,22,48.92249926375824,45.089035564831015,-118.125,-112.5
6,11,23,45.089035564831015,40.97989806962013,-118.125,-112.5
6,11,24,40.97989806962013,36.59788913307021,-118.125,-112.5
6,11,25,36.59788913307021,31.952162238024968,-118.125,-112.5
6,11,26,31.952162238024968,27.059125784374054,-118.125,-112.5
6,11,27,27.059125784374054,21.943045533438177,-118.125,-112.5
6,11,28,21.943045533438177,16.636191878397653,-118.125,-112.5
6,12,21,52.48278022207821,48.92249926375824,-112.5,-106.875
6,12,22,48.92249926375824,45.089035564831015,-112.5,-106.875
6,12,23,45.089035564831015,40.97989806962013,-112.5,-106.875
6,12,24,40.97989806962013,36.59788913307021,-112.5,-106.875
6,12,25,36.59788913307021,31.952162238024968,-112.5,-106.875
6,12,26,31.952162238024968,27.059125784374054,-112.5,-106.875
6,12,27,27.059125784374054,21.943045533438177,-112.5,-106.875
6,12,28,21.943045533438177,16.636191878397653,-112.5,-106.875
6,13,21,52.48278022207821,48.92249926375824,-106.875,-101.25
6,13,22,48.92249926375824,45.089035564831015,-106.875,-101.25
6,13,23,45.089035564831015,40.97989806962013,-106.875,-101.25
6,13,24,40.97989806962013,36.59788913307021,-106.875,-101.25
6,13,25,36.59788913307021,31.952162238024968,-106.875,-101.25
6,13,26,31.952162238024968,27.059125784374054,-106.875,-101.25
6,13,27,27.059125784374054,21.943045533438177,-106.875,-101.25
6,13,28,21.943045533438177,16.636191878397653,-106.875,-101.25
6,14,21,52.48278022207821,48.92249926375824,-101.25,-95.625
6,14,22,48.92249926375824,45.089035564831015,-101.25,-95.625
6,14,23,45.089035564831015,40.97989806962013,-101.25,-95.625
6,14,24,40.97989806962013,36.59788913307021,-101.25,-95.625
6,14,25,36.59788913307021,31.952162238024968,-101.25,-95.625
6,14,26,31.952162238024968,27.059125784374054,-101.25,-95.625
6,14,27,27.059125784374054,21.943045533438177,-101.25,-95.625
6,14,28,21.943045533438177,16.636191878397653,-101.25,-95.625
6,15,21,52.48278022207821,48.92249926375824,-95.625,-90.0
6,15,22,48.92249926375824,45.089035564831015,-95.625,-90.0
6,15,23,45.089035564831015,40.97989806962013,-95.625,-90.0
6,15,24,40.97989806962013,36.59788913307021,-95.625,-90.0
6,15,25,36.59788913307021,31.952162238024968,-95.625,-90.0
6,15,26,31.952162238024968,27.059125784374054,-95.625,-90.0
6,15,27,27.059125784374054,21.943045533438177,-95.625,-90.0
6,15,28,21.943045533438177,16.636191878397653,-95.625,-90.0
6,16,21,52.48278022207821,48.92249926375824,-90.0,-84.375
6,16,22,48.92249926375824,45.089035564831015,-90.0,-84.375
6,16,23,45.089035564831015,40.97989806962013,-90.0,-84.375
6,16,24,40.97989806962013,36.59788913307021,-90.0,-84.375
6,16,25,36.59788913307021,31.952162238024968,-90.0,-84.375
6,16,26,31.952162238024968,27.059125784374054,-90.0,-84.375
6,16,27,27.059125784374054,21.943045533438177,-90.0,-84.375
6,16,28,21.943045533438177,16.636191878397653,-90.0,-84.375
6,17,21,52.48278022207821,48.92249926375824,-84.375,-78.75
6,17,22,48.92249926375824,45.089035564831015,-84.375,-78.75
6,17,23,45.089035564831015,40.97989806962013,-84.375,-78.75
6,17,24,40.97989806962013,36.59788913307021,-84.375,-78.75
6,17,25,36.59788913307021,31.952162238024968,-84.375,-78.75
6,17,26,31.952162238024968,27.059125784374054,-84.375,-78.75
6,17,27,27.059125784374054,21.943045533438177,-84.375,-78.75
6,17,28,21.943045533438177,16.636191878397653,-84.375,-78.75
6,18,21,52.48278022207821,48.92249926375824,-78.75,-73.125
6,18,22,48.92249926375824,45.089035564831015,-78.75,-73.125
6,18,23,45.089035564831015,40.97989806962013,-78.75,-73.125
6,18,24,40.97989806962013,36.59788913307021,-78.75,-73.125
6,18,25,36.59788913307021,31.952162238024968,-78.75,-73.125
6,18,26,31.952162238024968,27.059125784374054,-78.75,-73.125
6,18,27,27.059125784374054,21.943045533438177,-78.75,-73.125
6,18,28,21.943045533438177,16.636191878397653,-78.75,-73.125
6,19,21,52.48278022207821,48.92249926375824,-73.125,-67.5
6,19,22,48.92249926375824,45.089035564831015,-73.125,-67.5
6,19,23,45.089035564831015,40.97989806962013,-73.125,-67.5
6,19,24,40.97989806962013,36.59788913307021,-73.125,-67.5
6,19,25,36.59788913307021,31.952162238024968,-73.125,-67.5
6,19,26,31.952162238024968,27.059125784374054,-73.125,-67.5
6,19,27,27.059125784374054,21.943045533438177,-73.125,-67.5
6,19,28,21.943045533438177,16.636191878397653,-73.125,-67.5
6,20,21,52.48278022207821,48.92249926375824,-67.5,-61.875
6,20,22,48.92249926375824,45.089035564831015,-67.5,-61.875
6,20,23,45.089035564831015,40.97989806962013,-67.5,-61.875
6,20,24,40.97989806962013,36.59788913307021,-67.5,-61.875
6,20,25,36.59788913307021,31.952162238024968,-67.5,-61.875
6,20,26,31.952162238024968,27.059125784374054,-67.5,-61.875
6,20,27,27.059125784374054,21.943045533438177,-67.5,-61.875
6,20,28,21.943045533438177,16.636191878397653,-67.5,-61.875
6,21,21,52.48278022207821,48.92249926375824,-61.875,-56.25
6,21,22,48.92249926375824,45.089035564831015,-61.875,-56.25
6,21,23,45.089035564831015,40.97989806962013,-61.875,-56.25
6,21,24,40.97989806962013,36.59788913307021,-61.875,-56.25
6,21,25,36.59788913307021,31.952162238024968,-61.875,-56.25
6,21,26,31.952162238024968,27.059125784374054,-61.875,-56.25
6,21,27,27.059125784374054,21.943045533438177,-61.875,-56.25
6,21,28,21.943045533438177,16.636191878397653,-61.875,-56.25
7,19,43,50.73645513701065,48.92249926375824,-126.5625,-123.75
7,19,44,48.92249926375824,47.04018214480666,-126.5625,-123.75
7,19,45,47.04018214480666,45.089035564831015,-126.5625,-123.75
7,19,46,45.089035564831015,43.06888777416962,-126.5625,-123.75
7,19,47,43.06888777416962,40.97989806962013,-126.5625,-123.75
7,19,48,40.97989806962013,38.8225909761771,-126.5625,-123.75
7,19,49,38.8225909761771,36.59788913307021,-126.5625,-123.75
7,19,50,36.59788913307021,34.307143856288036,-126.5625,-123.75
7,19,51,34.307143856288036,31.952162238024968,-126.5625,-123.75
7,19,52,31.952162238024968,29.535229562948455,-126.5625,-123.75
7,19,53,29.535229562948455,27.059125784374054,-126.5625,-123.75
7,19,54,27.059125784374054,24.5271348225978,-126.5625,-123.75
7,19,55,24.5271348225978,21.943045533438177,-126.5625,-123.75
7,20,43,50.73645513701065,48.92249926375824,-123.75,-120.9375
7,20,44,48.92249926375824,47.04018214480666,-123.75,-120.9375
7,20,45,47.04018214480666,45.089035564831015,-123.75,-120.9375
7,20,46,45.089035564831015,43.06888777416962,-123.75,-120.9375
7,20,47,43.06888777416962,40.97989806962013,-123.75,-120.9375
7,20,48,40.97989806962013,38.8225909761771,-123.75,-120.9375
7,20,49,38.8225909761771,36.59788913307021,-123.75,-120.9375
7,20,50,36.59788913307021,34.307143856288036,-123.75,-120.9375
7,20,51,34.307143856288036,31.952162238024968,-123.75,-120.9375
7,20,52,31.952162238024968,29.535229562948455,-123.75,-120.9375
7,20,53,29.535229562948455,27.059125784374054,-123.75,-120.9375
7,20,54,27.059125784374054,24.5271348225978,-123.75,-120.9375
7,20,55,24.5271348225978,21.943045533438177,-123.75,-120.9375
7,21,43,50.73645513701065,48.92249926375824,-120.9375,-118.125
7,21,44,48.92249926375824,47.04018214480666,-120.9375,-118.125
7,21,45,47.04018214480666,45.089035564831015,-120.9375,-118.125
7,21,46,45.089035564831015,43.06888777416962,-120.9375,-118.125
7,21,47,43.06888777416962,40.97989806962013,-120.9375,-118.125
7,21,48,40.97989806962013,38.8225909761771,-120.9375,-118.125
7,21,49,38.8225909761771,36.59788913307021,-120.9375,-118.125
7,21,50,36.59788913307021,34.307143856288036,-120.9375,-118.125
7,21,51,34.307143856288036,31.952162238024968,-120.9375,-118.125
7,21,52,31.952162238024968,29.535229562948455,-120.9375,-118.125
7,21,53,29.535229562948455,27.059125784374054,-120.9375,-118.125
7,21,54,27.059125784374054,24.5271348225978,-120.9375,-118.125
7,21,55,24.5271348225978,21.943045533438177,-120.9375,-118.125
7,22,43,50.73645513701065,48.92249926375824,-118.125,-115.3125
7,22,44,48.92249926375824,47.04018214480666,-118.125,-115.3125
7,22,45,47.04018214480666,45.089035564831015,-118.125,-115.3125
7,22,46,45.089035564831015,43.06888777416962,-118.125,-115.3125
7,22,47,43.06888777416962,40.97989806962013,-118.125,-115.3125
7,22,48,40.97989806962013,38.8225909761771,-118.125,-115.3125
7,22,49,38.8225909761771,36.59788913307021,-118.125,-115.3125
7,22,50,36.59788913307021,34.307143856288036,-118.125,-115.3125
7,22,51,34.307143856288036,31.952162238024968,-118.125,-115.3125
7,22,52,31.952162238024968,29.535229562948455,-118.125,-115.3125
7,22,53,29.535229562948455,27.059125784374054,-118.125,-115.3125
7,22,54,27.059125784374054,24.5271348225978,-118.125,-115.3125
7,22,55,24.5271348225978,21.943045533438177,-118.125,-115.3125
7,23,43,50.73645513701065,48.92249926375824,-115.3125,-112.5
7,23,44,48.92249926375824,47.04018214480666,-115.3125,-112.5
7,23,45,47.04018214480666,45.089035564831015,-115.3125,-112.5
7,23,46,45.089035564831015,43.06888777416962,-115.3125,-112.5
7,23,47,43.06888777416962,40.97989806962013,-115.3125,-112.5
7,23,48,40.97989806962013,38.8225909761771,-115.3125,-112.5
7,23,49,38.8225909761771,36.59788913307021,-115.3125,-112.5
7,23,50,36.59788913307021,34.307143856288036,-115.3125,-112.5
7,23,51,34.307143856288036,31.952162238024968,-115.3125,-112.5
7,23,52,31.952162238024968,29.535229562948455,-115.3125,-112.5
7,23,53,29.535229562948455,27.059125784374054,-115.3125,-112.5
7,23,54,27.059125784374054,24.5271348225978,-115.3125,-112.5
7,23,55,24.5271348225978,21.943045533438177,-115.3125,-112.5
7,24,43,50.73645513701065,48.92249926375824,-112.5,-109.6875
7,24,44,48.92249926375824,47.04018214480666,-112.5,-109.6875
7,24,45,47.04018214480666,45.089035564831015,-112.5,-109.6875
7,24,46,45.089035564831015,43.06888777416962,-112.5,-109.6875
7,24,47,43.06888777416962,40.97989806962013,-112.5,-109.6875
7,24,48,40.97989806962013,38.8225909761771,-112.5,-109.6875
7,24,49,38.8225909761771,36.59788913307021,-112.5,-109.6875
7,24,50,36.59788913307021,34.307143856288036,-112.5,-109.6875
7,24,51,34.307143856288036,31.952162238024968,-112.5,-109.6875
7,24,52,31.952162238024968,29.535229562948455,-112.5,-109.6875
7,24,53,29.535229562948455,27.059125784374054,-112.5,-109.6875
